pl_name,pl_bmasse,st_met,st_metratio,pl_massjlim,st_metlim,st_lum,sy_pnum,st_teff
HD 18599 b,24.1,0,[Fe/H],0,0,-0.42946,1,5145
K2-10 b,25.2,-0.07,[Fe/H],0,0,-0.10088,1,5533
Kepler-128 b,3.79,-0.03,[Fe/H],0,0,0.57542,2,6072
Kepler-272 c,97.8,0.04,[Fe/H],0,0,0.06634,3,5297
CoRoT-3 b,6883.91,0.14,[Fe/H],0,0,0.39086,1,6740
GJ 179 b,301.9369867,0.3,[Fe/H],0,0,-1.796,1,3370
GQ Lup b,6356,-0.35,[Fe/H],0,0,-0.07239,1,4360
GJ 876 b,723.2235,0.2129,[Fe/H],0,0,-1.90658,4,3293.74
HD 86226 b,143.0235,0.018,[Fe/H],0,0,0.07188,2,5863
HD 86226 c,7.25,0.018,[Fe/H],0,0,0.07188,2,5863
GJ 876 d,6.83,0.2129,[Fe/H],0,0,-1.90658,4,3293.74
GJ 876 e,14.6,0.2129,[Fe/H],0,0,-1.90658,4,3293.74
CoRoT-17 b,772.29,0,[Fe/H],0,0,0.13421,1,5740
HD 55696 b,1357.127298,0.37,[Fe/H],0,0,0.43,1,6012
TOI-2374 b,61.65871096,0.128,[Fe/H],0,0,-0.54516,1,5002
CoRoT-18 b,1102.82,-0.1,[Fe/H],0,0,-0.17,1,5440
Kepler-45 b,160.497,0.28,[Fe/H],0,0,-1.27572,1,3820
WASP-23 b,280.95,-0.05,[Fe/H],0,0,-0.37679,1,5150
OGLE-TR-211 b,327.351,0.11,[Fe/H],0,0,0.26657,1,6325
CoRoT-11 b,740.51,-0.03,[Fe/H],0,0,0.37753,1,6440
CoRoT-13 b,415.704,0.01,[Fe/H],0,0,0.07314,1,5945
OGLE-TR-10 b,197.046,0.28,[Fe/H],0,0,0.188,1,5950
Kepler-18 c,17.3,0.19,[Fe/H],0,0,-0.031,3,5345
Kepler-18 b,6.9,0.19,[Fe/H],0,0,-0.031,3,5345
HD 189733 b,359.1479,-0.02,[Fe/H],0,0,-0.46119,1,5052
Kepler-4 b,24.472,0.17,[Fe/H],0,0,0.354,1,5857
WASP-38 b,1093.3352,-0.02,[Fe/H],0,0,0.45294,1,6180
Kepler-30 c,640,0.18,[Fe/H],0,0,-0.23658,3,5498
HD 106315 b,12.6,-0.311,[Fe/H],0,0,0.39454,2,6327
HIP 41378 g,6.81,0.046,[Fe/H],0,0,0.39646,6,6371
Kepler-18 d,16.4,0.19,[Fe/H],0,0,-0.031,3,5345
HAT-P-37 b,371.528,0.03,[Fe/H],0,0,-0.208,1,5500
HD 129445 b,797.7493016,0.25,[Fe/H],0,0,0.08968,1,5646
Kepler-419 c,2320.1,0.176,[Fe/H],0,0,0.7268,2,6430
WASP-67 b,136.6669,-0.07,[Fe/H],0,0,-0.29441,1,5200
CoRoT-14 b,2415.4,0.05,[Fe/H],0,0,0.11884,1,6035
Kepler-419 b,794.5,0.176,[Fe/H],0,0,0.7268,2,6430
CoRoT-6 b,940.74,-0.2,[Fe/H],0,0,0.02573,1,6090
WASP-31 b,151.916,-0.2,[Fe/H],0,0,0.33572,1,6302
Kepler-59 c,3.81,-0.2,[Fe/H],0,0,0.32374,2,6074
HAT-P-22 b,785.0401,0.24,[Fe/H],0,0,-0.114,1,5302
L 98-59 b,0.46,-0.46,[Fe/H],0,0,-1.91364,5,3415
HAT-P-18 b,62.61,0.1,[Fe/H],0,0,-0.569,1,4803
Kepler-59 b,4.1,-0.2,[Fe/H],0,0,0.32374,2,6074
Kepler-30 b,11.3,0.18,[Fe/H],0,0,-0.23658,3,5498
Kepler-65 d,4.14,0.17,[Fe/H],0,0,0.4674,4,6211
Kepler-55 b,43,-0.01,[Fe/H],0,0,-0.76324,5,4362
Kepler-413 b,67,-0.2,[Fe/H],0,0,-0.42994,1,4700
WASP-14 b,2809.6172,0,[Fe/H],0,0,0.42732,1,6475
HAT-P-2 b,2866.812231,0.18,[Fe/H],0,0,0.53,2,6380
HAT-P-42 b,331.801,0.27,[Fe/H],0,0,0.356,1,5743
WASP-59 b,274.276,-0.15,[Fe/H],0,0,-0.79407,1,4650
HAT-P-39 b,190.372,0.19,[Fe/H],0,0,0.607,1,6430
KOI-55 b,0.44,-0.106,[Fe/H],0,0,1.36,2,27730
WTS-2 b,355.9696,0.2,[Fe/H],0,0,-0.28812,1,5000
KOI-55 c,0.655,-0.106,[Fe/H],0,0,1.36,2,27730
HAT-P-13 b,270.462,0.46,[Fe/H],0,0,0.346,2,5653
HD 95086 b,1589,0.14,[Fe/H],0,0,0.82124,1,7595
