hostname,pl_name,pl_massj,st_met,pl_massjlim,st_metlim
HD 18599,HD 18599 b,0.0758270798619961,0.0,0,0
K2-10,K2-10 b,0.0792880669096391,-0.07,0,0
Kepler-221,Kepler-221 d,0.0113583302199919,0.0616,0,0
Kepler-128,Kepler-128 b,0.0119246735550608,-0.03,0,0
Kepler-272,Kepler-272 c,0.308,0.04,0,0
CoRoT-3,CoRoT-3 b,21.66,0.14,0,0
GJ 179,GJ 179 b,0.95,0.3,0,0
GQ Lup,GQ Lup b,20.0,-0.35,0,0
GJ 876,GJ 876 b,2.2756,0.2129,0,0
HD 86226,HD 86226 b,0.45,0.018,0,0
HD 86226,HD 86226 c,0.0228109366642545,0.018,0,0
GJ 876,GJ 876 d,0.021,0.2129,0,0
GJ 876,GJ 876 e,0.046,0.2129,0,0
CoRoT-17,CoRoT-17 b,2.43,0.0,0,0
HD 55696,HD 55696 b,4.27,0.37,0,0
Kepler-595,Kepler-595 c,0.0103829091023503,0.406,0,0
Kepler-595,Kepler-595 b,0.0547462479942107,0.406,0,0
OGLE-TR-111,OGLE-TR-111 b,0.55,0.19,0,0
TOI-2374,TOI-2374 b,0.194,0.128,0,0
CoRoT-18,CoRoT-18 b,3.47,-0.1,0,0
Kepler-45,Kepler-45 b,0.505,0.28,0,0
WASP-23,WASP-23 b,0.884,-0.05,0,0
OGLE-TR-211,OGLE-TR-211 b,1.03,0.11,0,0
HN Peg,HN Peg b,21.9987,-0.036,0,0
CoRoT-11,CoRoT-11 b,2.33,-0.03,0,0
CoRoT-13,CoRoT-13 b,1.308,0.01,0,0
OGLE-TR-10,OGLE-TR-10 b,0.62,0.28,0,0
CoRoT-8,CoRoT-8 b,0.22,0.3,0,0
Kepler-18,Kepler-18 c,0.054,0.19,0,0
Kepler-18,Kepler-18 b,0.022,0.19,0,0
HD 189733,HD 189733 b,1.13,-0.02,0,0
Kepler-4,Kepler-4 b,0.077,0.17,0,0
WASP-38,WASP-38 b,3.44,-0.02,0,0
Kepler-30,Kepler-30 c,2.01,0.18,0,0
HD 106315,HD 106315 b,0.0396438347544285,-0.311,0,0
HIP 41378,HIP 41378 g,0.0214266561767715,0.046,0,0
Kepler-18,Kepler-18 d,0.052,0.19,0,0
HAT-P-37,HAT-P-37 b,1.169,0.03,0,0
HD 129445,HD 129445 b,2.51,0.25,0,0
Kepler-419,Kepler-419 c,7.3,0.176,0,0
WASP-67,WASP-67 b,0.43,-0.07,0,0
CoRoT-14,CoRoT-14 b,7.6,0.05,0,0
Kepler-419,Kepler-419 b,2.5,0.176,0,0
WASP-43,WASP-43 b,1.78,-0.05,0,0
CoRoT-6,CoRoT-6 b,2.96,-0.2,0,0
WASP-31,WASP-31 b,0.478,-0.2,0,0
Kepler-59,Kepler-59 c,0.0119876005922907,-0.2,0,0
Kepler-416,Kepler-416 b,0.183,0.1259,0,0
HAT-P-22,HAT-P-22 b,2.47,0.24,0,0
L 98-59,L 98-59 b,0.00144732185628706,-0.46,0,0
HAT-P-18,HAT-P-18 b,0.197,0.1,0,0
Kepler-59,Kepler-59 b,0.0129000426321238,-0.2,0,0
HD 82943,HD 82943 c,1.959,0.26,0,0
HD 82943,HD 82943 b,1.681,0.26,0,0
