hostname,max_massj,st_met,n_planets,has_giant
14 Her,8.9,0.43,2,True
2MASS J04372171+2651014,4.0,0.01,1,True
2MASS J19383260+4603591,1.9,-0.092,1,True
51 Peg,0.46,0.18,1,True
55 Cnc,3.878,0.39,5,True
70 Vir,7.49,-0.09,1,True
AB Pic,13.5,0.04,1,True
AF Lep,3.61,0.19,1,True
AU Mic,0.0663880242775153,0.01,4,False
BD+20 594,0.07,-0.15,1,False
BD+63 1405,10.4,-0.09,1,True
BD-14 3065 A,12.37,-0.34,1,True
BD-17 63,5.16,-0.03,1,True
BD-210397,4.8,0.12,1,True
CD-35 2722,29.5,-0.16,1,True
COCONUTS-2 A,7.5,0.0,1,True
CT Cha,17.0,-0.56,1,True
CoRoT-1,1.03,-0.3,1,True
CoRoT-10,2.75,0.26,1,True
CoRoT-11,2.33,-0.03,1,True
CoRoT-12,0.917,0.16,1,True
CoRoT-13,1.308,0.01,1,True
CoRoT-14,7.6,0.05,1,True
CoRoT-16,0.535,0.19,1,True
CoRoT-17,2.43,0.0,1,True
CoRoT-18,3.47,-0.1,1,True
CoRoT-19,1.11,-0.02,1,True
CoRoT-2,3.47,0.04,1,True
CoRoT-20,4.3,0.14,1,True
CoRoT-21,2.26,0.0,1,True
CoRoT-22,0.038,0.17,1,False
CoRoT-23,2.8,0.05,1,True
CoRoT-24,0.088,0.3,1,False
CoRoT-25,0.27,-0.01,1,True
CoRoT-26,0.52,0.01,1,True
CoRoT-27,10.39,-0.1,1,True
CoRoT-28,0.484,0.15,1,True
CoRoT-29,0.85,0.2,1,True
CoRoT-3,21.66,0.14,1,True
CoRoT-30,2.9,0.02,1,True
CoRoT-31,0.84,0.0,1,True
CoRoT-32,0.15,0.0,1,False
CoRoT-35,1.1,-0.5,1,True
CoRoT-4,0.72,0.05,1,True
CoRoT-5,0.467,-0.25,1,True
CoRoT-6,2.96,-0.2,1,True
CoRoT-7,0.0539347636097235,0.05,3,False
CoRoT-8,0.22,0.3,1,True
CoRoT-9,0.84,-0.01,1,True
EPIC 201595106,0.024132518777656,0.01,1,False
EPIC 211945201,0.0346098704764298,0.1,1,False
EPIC 220674823,0.0248561797057995,-0.005,2,False
EPIC 229004835,0.0327220593595336,-0.12,1,False
EPIC 246851721,3.0,0.141,1,True
EPIC 249893012,0.0461567504640846,0.2,3,False
G 9-40,0.0125854074459745,-0.07,1,False
GJ 1061,0.00569489686930344,-0.08,3,False
GJ 1132,0.00578,-0.17,1,False
GJ 1214,0.0264608191551613,0.24,1,False
GJ 1252,0.00415318445717157,0.1,1,False
GJ 143,0.0714218292798037,0.003,1,False
GJ 179,0.95,0.3,1,True
GJ 2030,12.803,-0.4,1,True
GJ 3090,0.0142215104139511,0.12,1,False
GJ 317,2.5,-0.02,1,True
GJ 3470,0.0437340716735362,0.2,1,False
GJ 3473,0.00585218513041563,0.11,1,False
GJ 357,0.00575782390653331,-0.12,1,False
GJ 367,0.00199164072832546,-0.01,1,False
GJ 3929,0.00550611575761382,-0.02,1,False
GJ 436,0.07,0.0991,1,False
GJ 463,3.4,-0.16,1,True
GJ 486,0.00871539465633731,-0.15,1,False
GJ 504,4.0,0.28,1,True
GJ 581,0.0645002131606191,-0.08,3,False
GJ 676 A,13.492,0.23,2,True
GJ 806,0.00597806853683787,-0.28,1,False
GJ 832,0.99,-0.3,1,True
GJ 876,2.2756,0.2129,4,True
GJ 900 A,11.0,-0.63,1,True
GJ 9827,0.0134663859671927,-0.29,3,False
GPX-1,19.7,0.35,1,True
GQ Lup,20.0,-0.35,1,True
GSC 06214-00210,16.0,-0.06,1,True
GU Psc,11.3,0.1,1,True
Gaia-4,11.8,0.05,1,True
Gaia-5,20.87,-0.18,1,True
Gliese 12,0.00298903426841893,-0.24,1,False
HAT-P-1,0.525,0.13,1,True
HAT-P-11,2.68,0.31,2,True
HAT-P-12,0.211,-0.29,1,True
HAT-P-13,0.851,0.46,1,True
HAT-P-14,3.44,0.11,1,True
HAT-P-15,1.94,0.22,1,True
HAT-P-16,4.221,0.17,1,True
HAT-P-17,0.58,0.0,1,True
HAT-P-18,0.197,0.1,1,True
HAT-P-19,0.277,0.166,1,True
HAT-P-2,10.7,0.18,2,True
HAT-P-20,7.246,0.35,1,True
HAT-P-21,4.87,0.01,1,True
