hostname,pl_name,st_mass,st_rad,st_met,st_masslim,st_radlim,st_metlim
Kepler-1167,Kepler-1167 b,0.79,0.75,-0.05,0,0,0
Kepler-1740,Kepler-1740 b,0.943,0.905,-0.06,0,0,0
Kepler-1581,Kepler-1581 b,1.12,1.23,0.07,0,0,0
Kepler-644,Kepler-644 b,1.49,1.81,0.08,0,0,0
Kepler-1752,Kepler-1752 b,0.824,0.821,-0.2,0,0,0
Kepler-280,Kepler-280 c,0.962,0.886,0.1213,0,0,0
Kepler-1208,Kepler-1208 b,0.8,0.76,-0.03,0,0,0
Kepler-263,Kepler-263 c,0.793,0.785,-0.0314,0,0,0
Kepler-1101,Kepler-1101 b,0.94,0.91,-0.04,0,0,0
HD 168746,HD 168746 b,1.07,1.09,-0.08,0,0,0
TOI-2406,TOI-2406 b,0.166,0.204,-0.26,0,0,0
HD 18599,HD 18599 b,0.863,0.767,0.0,0,0,0
Kepler-560,Kepler-560 b,0.34,0.33,-0.39,0,0,0
Kepler-150,Kepler-150 d,0.956,0.939,0.12,0,0,0
Kepler-498,Kepler-498 b,0.98,0.96,-0.04,0,0,0
Kepler-817,Kepler-817 b,1.03,1.03,0.02,0,0,0
Kepler-937,Kepler-937 b,1.15,1.22,0.08,0,0,0
K2-10,K2-10 b,0.88,0.956,-0.07,0,0,0
Kepler-571,Kepler-571 b,0.93,0.9,0.01,0,0,0
Kepler-1458,Kepler-1458 b,0.96,0.94,0.02,0,0,0
Kepler-1600,Kepler-1600 c,0.818,0.834,0.1,0,0,0
Kepler-221,Kepler-221 d,0.854,0.821,0.0616,0,0,0
Kepler-626,Kepler-626 b,1.01,1.05,0.01,0,0,0
Kepler-1549,Kepler-1549 b,0.88,0.84,0.02,0,0,0
K2-62,K2-62 c,0.67,0.696,-0.1,0,0,0
Kepler-1149,Kepler-1149 b,1.02,1.01,0.02,0,0,0
Kepler-1288,Kepler-1288 b,1.2,1.29,0.14,0,0,0
Kepler-128,Kepler-128 b,1.184,1.659,-0.03,0,0,0
Kepler-1245,Kepler-1245 b,0.86,0.83,-0.01,0,0,0
Kepler-1068,Kepler-1068 b,1.01,1.01,0.03,0,0,0
Kepler-150,Kepler-150 e,0.956,0.939,0.12,0,0,0
Kepler-272,Kepler-272 c,0.91,0.929,0.04,0,0,0
Kepler-152,Kepler-152 c,0.779,0.724,-0.12,0,0,0
Kepler-1506,Kepler-1506 b,0.95,0.93,-0.05,0,0,0
CoRoT-3,CoRoT-3 b,1.37,1.56,0.14,0,0,0
HD 205739,HD 205739 b,1.22,1.33,0.19,0,0,0
HD 224693,HD 224693 b,1.31,1.93,0.27,0,0,0
HD 16417,HD 16417 b,1.2,1.639984,0.06,0,0,0
HD 19994,HD 19994 b,1.365,1.79647,0.27,0,0,0
GJ 179,GJ 179 b,0.357,0.38,0.3,0,0,0
GQ Lup,GQ Lup b,0.7,1.94153,-0.35,0,0,0
HD 37605,HD 37605 b,0.94,0.91,0.27,0,0,0
HD 33283,HD 33283 b,1.38,1.97,0.35,0,0,0
HD 9446,HD 9446 b,1.0,1.0,0.09,0,0,0
HD 134987,HD 134987 c,1.1,1.25,0.28,0,0,0
HD 110014,HD 110014 b,2.17,20.9,0.19,0,0,0
HD 79498,HD 79498 b,1.08,1.05,0.18,0,0,0
HD 45652,HD 45652 b,0.92,0.94,0.26,0,0,0
HIP 79431,HIP 79431 b,0.49,0.478625,0.4,0,0,0
GJ 876,GJ 876 b,0.32,0.3,0.2129,0,0,0
HD 86226,HD 86226 b,1.019,1.053,0.018,0,0,0
HD 47186,HD 47186 c,0.96,1.08,0.24,0,0,0
HD 148156,HD 148156 b,1.22,1.21,0.29,0,0,0
HD 86226,HD 86226 c,1.019,1.053,0.018,0,0,0
HIP 14810,HIP 14810 c,1.01,1.07,0.24,0,0,0
HIP 14810,HIP 14810 b,1.01,1.07,0.24,0,0,0
GJ 876,GJ 876 d,0.32,0.3,0.2129,0,0,0
GJ 876,GJ 876 e,0.32,0.3,0.2129,0,0,0
gam1 Leo,gam1 Leo b,1.23,31.88,-0.51,0,0,0
HD 156411,HD 156411 b,1.25,2.16,-0.12,0,0,0
HD 8535,HD 8535 b,1.13,1.19,0.06,0,0,0
HD 37605,HD 37605 c,0.94,0.91,0.27,0,0,0
HD 1605,HD 1605 c,1.33,3.49,0.22,0,0,0
BD+20 2457,BD+20 2457 b,2.8,49.0,-1.0,0,0,0
HD 240210,HD 240210 b,0.82,25.456816,-0.18,0,0,0
CoRoT-17,CoRoT-17 b,1.04,1.59,0.0,0,0,0
HD 132563,HD 132563 b,1.231,1.29577,-0.06,0,0,0
HD 55696,HD 55696 b,1.29,1.52,0.37,0,0,0
HD 148164,HD 148164 b,1.21,1.34,0.24,0,0,0
24 Sex,24 Sex c,1.54,4.9,-0.03,0,0,0
HD 22781,HD 22781 b,0.75,0.743475,-0.37,0,0,0
HD 148164,HD 148164 c,1.21,1.34,0.24,0,0,0
HD 90156,HD 90156 b,0.84,0.920286,-0.24,0,0,0
HD 45350,HD 45350 b,0.98,1.26442,0.23,0,0,0
Kepler-595,Kepler-595 c,0.93,0.821,0.406,0,0,0
