hostname,st_mass (unit: M☉),SUM of pl_bmasse (unit: M🜨),SUM of pl_bmasse / st_mass ratio (no unit),st_lum,st_teff
14 Her,0.97,5339.517238,0.00826450612,-0.15273,5338
2MASS J04372171+2651014,0.17,1271.313628,0.02245538077,-1.16368,3100
2MASS J19383260+4603591,0.48,603.877,0.003777668929,1.45,29564
70 Vir,1.09,2380.45,0.006557664723,0.4513,5495
AB Pic,0.9,4290.5,0.01431469304,-0.22631,5285
AF Lep,1.218,1147.360549,0.002828585218,0.29,6140
BD-14 3065 A,1.41,3932,0.008373577402,1.06,6935
BD-17 63,0.741,1639.99458,0.006645701759,-0.678,4714
BD-210397,0.69,1525.576354,0.006638982142,-0.86967,4051
BD+63 1405,0.816,3305.415433,0.01216333125,-0.41295,5000
bet Pic,1.795,6950.271604,0.005813316528,0.95282,8038.68
COCONUTS-2 A,0.4,2383.713053,0.01789413155,-1.719,3552
CoRoT-10,0.89,874,0.002948750779,-0.72608,5075
CoRoT-11,1.27,740.51,0.001750829475,0.37753,6440
CoRoT-12,1.078,291.438,0.0008117906776,0.07,5675
CoRoT-13,1.09,415.704,0.001145181565,0.07314,5945
CoRoT-14,1.13,2415.4,0.006418407122,0.11884,6035
CoRoT-17,1.04,772.29,0.002229788723,0.13421,5740
CoRoT-18,0.95,1102.82,0.003485761517,-0.17,5440
CoRoT-19,1.21,352.78,0.0008754578236,0.544,6090
CoRoT-2,0.96,1102.82,0.003449451501,-0.13055,5625
CoRoT-21,1.29,718.2958,0.001671976848,0.705,6200
CoRoT-23,1.14,889.9,0.002343975123,0.08678,5900
CoRoT-25,1.09,85.81,0.0002363894263,0.14101,6040
CoRoT-26,1.09,165.26,0.0004552583218,0.451,5590
CoRoT-28,1.01,153.82972,0.0004573361363,0.38849,5150
CoRoT-29,0.97,270.1555,0.0008362935013,-0.09414,5260
CoRoT-3,1.37,6883.91,0.01508798554,0.39086,6740
CoRoT-30,0.98,921.707,0.002824121992,-0.19653,5650
CoRoT-31,1.25,266.9772,0.0006413288893,0.39778,5700
CoRoT-35,1.01,349.6112477,0.0010393951,0.36247,6390
CoRoT-6,1.05,940.74,0.002690276723,0.02573,6090
CoRoT-9,0.96,266.9772,0.0008350636579,-0.25426,5625
EPIC 246851721,1.317,953.49,0.002173937281,0.52634,6202
eps Eri,0.82,209.7667486,0.0007681383301,-0.41928,5020.38
eps Ind A,0.781,2425.030745,0.009323583355,-0.6216,4760
Gaia-4,0.644,3750.375203,0.01748660475,-0.99957,4034
Gaia-5,0.339,6633.078854,0.05875327835,-1.82594,3447
gam Cep,1.27,2097.667486,0.004959633312,1.073,4775
GJ 179,0.357,301.9369867,0.002539596635,-1.796,3370
GJ 317,0.402,794.5,0.005934504877,-1.68663,3496
GJ 463,0.486,1080.616584,0.006676548399,-1.52293,3563
GJ 504,1.22,1271.3,0.003128994926,0.332,6234
GJ 676 A,0.626,6129.003001,0.01469948596,-1.04251,3734
GJ 832,0.45,314.6501229,0.002099578102,-1.585,3472
GJ 876,0.32,950.2081,0.004458157392,-1.90658,3293.74
GJ 900 A,1.08,3496.112477,0.009720268992,-0.921,3976
GPX-1,1.68,6261.219618,0.01119093307,0.72673,7000
GQ Lup,0.7,6356,0.02726481098,-0.07239,4360
GSC 06214-00210,0.9,5000,0.01668184715,-0.42,4200
GU Psc,0.325,3591.3,0.03318065594,-1.60189,4031.81
HAT-P-1,1.151,166.86075,0.000435306859,0.22463,5980
HAT-P-11,0.811,851.7801308,0.003153721171,-0.56702,4653
HAT-P-12,0.733,67.059,0.0002747070093,-0.678,4650
HAT-P-13,1.32,270.462,0.0006152462377,0.346,5653
HAT-P-14,2.65,1093.3352,0.00123886533,0.64412,6600
HAT-P-15,1,616.5902,0.001851455424,0.03019,5568
HAT-P-16,1.218,1341.56043,0.003307345719,0.29447,6140
HAT-P-17,0.99,184.3414,0.0005591191014,-0.28893,5246
HAT-P-18,0.77,62.61,0.000244157248,-0.569,4803
HAT-P-19,0.807,88.03846874,0.0003275786495,-0.48545,4962
HAT-P-2,1.33,6267.576186,0.007075133318,0.5535,6396
HAT-P-20,0.756,2302.899,0.009146811694,-0.721,4595
HAT-P-21,1.24,1547.8321,0.003748165912,0.18184,5588
HAT-P-22,1.13,785.0401,0.002086075585,-0.114,5302
HAT-P-23,1.13,664.237,0.001765067273,0.199,5905
HAT-P-24,1.37,238.3725,0.0005224590143,0.408,6373
HAT-P-25,1.012,180.84527,0.0005365908767,-0.15181,5519
HAT-P-28,1.025,198.953,0.0005828318404,0.053,5680
HAT-P-29,1.45,279.6904,0.0005791968622,0.31175,6087
HAT-P-3,1.06,206.5895,0.0005852198142,-0.36,5185
HAT-P-30,1.55,263.7989,0.0005110435658,0.312,6304
HAT-P-31,1.31,721.4741,0.001653735663,0.43315,6065
HAT-P-32,1.132,216.1244,0.000573289538,0.33806,6001
HAT-P-33,1.82,292.4036,0.0004824229609,0.618,6446
HAT-P-36,1.03,587.413406,0.001712471182,0.02243,5620
HAT-P-37,0.929,371.528,0.001200860275,-0.208,5500
HAT-P-38,0.886,84.857,0.0002875878901,-0.208,5330
HAT-P-39,1.404,190.372,0.0004071482827,0.607,6430
HAT-P-40,1.03,152.5584,0.0004447495765,0.778,6080
HAT-P-41,2.56,378.2177,0.0004436275683,0.628,6390
HAT-P-42,1.178,331.801,0.0008457637027,0.356,5743
HAT-P-43,1.03,210.395,0.0006133591277,0.05986,5693
HAT-P-44,0.942,111.871,0.0003566015775,-0.194,5295
HAT-P-45,1.259,283.492,0.0006761323575,0.4,6330
HAT-P-46,1.284,156.684,0.0003664175521,0.391,6120
HAT-P-49,2.22,699.226,0.0009457606422,0.814,6820
HAT-P-5,1.04,311.4734,0.0008992993239,0.187,5960
HAT-P-50,1.273,429.0705,0.001012084783,0.60314,6280
HAT-P-51,0.961,97.57332095,0.0003048767749,-0.10237,5453
HAT-P-52,0.887,259.98494,0.0008801186306,-0.30452,5131
HAT-P-53,1.093,471.65972,0.00129576209,0.21748,5956
HAT-P-54,0.645,241.5508,0.001124515402,-0.9017,4390
HAT-P-55,1.028,189.4257306,0.0005533023297,0.09656,5804
HAT-P-56,1.42,734.1873,0.001552512716,0.55274,6566
HAT-P-57,2.77,448.1403,0.0004857925767,0.80618,6330
HAT-P-58,1.031,118.2321674,0.0003443448788,0.45637,6078
HAT-P-59,1.008,489.4557468,0.001458040349,0.05385,5678
HAT-P-6,1.79,419.5356,0.0007037727237,0.55267,6570
HAT-P-60,1.435,182.4335056,0.0003817414731,0.80889,6212
HAT-P-61,1.004,335.9446262,0.001004732911,-0.1152,5587
HAT-P-62,1.023,241.8674177,0.0007099346556,0.09061,5629
HAT-P-63,0.925,195.1466419,0.0006334844987,-0.1463,5400
HAT-P-64,1.298,184.3404761,0.0004264446349,0.66839,6457
HAT-P-65,1.297,176.0769375,0.0004076422053,0.47276,5872
HAT-P-66,1.255,248.86089,0.0005954284295,0.6149,6002
HAT-P-67,1.73,143.0227832,0.0002482422874,1.07773,6640
HAT-P-68,0.6785,230.10892,0.00101835745,-0.77911,4508
HAT-P-69,1.648,1137.8314,0.00207318162,1,7394
HAT-P-7,1.56,584.8072,0.001125653576,0.8142,6389
HAT-P-70,1.89,2154.8874,0.003423571641,1.22272,8450
HAT-P-8,1.27,406.8224,0.0009618730998,0.519,6200
HAT-P-9,1.281,238.05467,0.0005580128737,0.4183,6350
HATS-1,0.986,589.55,0.001795396488,0.04139,5870
HATS-10,1.101,167.17858,0.0004559423735,0.117,5880
HATS-11,1.33,263.7989,0.0005955770879,0.40312,6563
HATS-12,1.16,759.6137,0.00196630753,0.86332,6357
