bin,n_total,n_giant,frac,ci_lo,ci_hi,center
"(-1.0, -0.9]",1,1,1.0,0.2065493143772374,1.0,-0.95
"(-0.7, -0.6]",4,3,0.75,0.30064184258240184,0.9544127391902995,-0.6499999999999999
"(-0.6, -0.5]",4,1,0.25,0.0455872608097006,0.6993581574175982,-0.55
"(-0.5, -0.4]",20,8,0.4,0.21880653237281705,0.6134184992377469,-0.45
"(-0.4, -0.3]",28,16,0.5714285714285714,0.3907078562746876,0.734914528758763,-0.35
"(-0.3, -0.2]",58,36,0.6206896551724138,0.49202807192768894,0.7343572732271243,-0.25
"(-0.2, -0.1]",140,74,0.5285714285714286,0.4462281801678338,0.6093886083824855,-0.15000000000000002
"(-0.1, -2.22e-16]",197,123,0.6243654822335025,0.5549678613020446,0.6890056702970555,-0.050000000000000114
"(-2.22e-16, 0.1]",292,198,0.678082191780822,0.6224803378956831,0.7290593023378824,0.04999999999999989
"(0.1, 0.2]",295,225,0.7627118644067796,0.7109835734561273,0.8076860937703351,0.15000000000000002
"(0.2, 0.3]",215,177,0.8232558139534883,0.7667253506059768,0.8684376607770192,0.25
"(0.3, 0.4]",124,109,0.8790322580645161,0.8099807076815497,0.9253050193989043,0.35
"(0.4, 0.5]",31,27,0.8709677419354839,0.7114759374369357,0.9486571562537085,0.45
"(0.5, 0.6]",7,7,1.0,0.6456695649333125,0.9999999999999999,0.55
"(0.6, 0.7]",1,1,1.0,0.2065493143772374,1.0,0.6499999999999999
"(0.7, 0.8]",1,1,1.0,0.2065493143772374,1.0,0.75
